Manufacturer,Year,Mileage
dodge,2016,55749.0
dodge,2012,79544.0
dodge,2015,89142.0
dodge,2017,20328.0
dodge,2018,29115.0
dodge,2012,149332.0
dodge,2019,35098.0
dodge,2019,35365.0
dodge,2015,88398.0
dodge,2018,30671.0
dodge,2017,23030.0
dodge,2018,37352.0
dodge,2019,27957.0
dodge,2019,30161.0
dodge,2015,26292.0
dodge,2019,25780.0
dodge,2019,25032.0
dodge,2019,28551.0
dodge,2015,93604.0
dodge,2017,62224.0
dodge,2017,35991.0
dodge,2015,23095.0
dodge,2017,34432.0
dodge,2017,48162.0
dodge,2014,68310.0
dodge,2014,48000.0
dodge,2019,35401.0
dodge,2014,105962.0
dodge,2014,96575.0
dodge,2014,13239.0
dodge,2014,24934.0
dodge,2014,46859.0
dodge,2014,44468.0
dodge,2014,62230.0
dodge,2014,37082.0
dodge,2014,23964.0
dodge,2014,11204.0
dodge,2015,100203.0
dodge,2014,7608.0
dodge,2014,49982.0
dodge,2019,4950.0
dodge,2013,111628.0
dodge,2012,15927.0
dodge,2018,36299.0
dodge,2018,28469.0
dodge,2019,29086.0
dodge,2016,13162.0
dodge,2015,10145.0
dodge,2019,29716.0
dodge,2018,39721.0
dodge,2017,59537.0
dodge,2018,32870.0
dodge,2018,42989.0
dodge,2016,49033.0
dodge,2018,33957.0
dodge,2008,177948.0
dodge,2018,38910.0
dodge,2014,123660.0
dodge,2018,36767.0
dodge,2018,19420.0
dodge,2015,17355.0
dodge,2012,66452.0
dodge,2018,50765.0
dodge,2018,6743.0
dodge,2018,32504.0
dodge,2018,52966.0
dodge,2018,35461.0
dodge,2007,112182.0
dodge,2005,219823.0
dodge,2015,93423.0
dodge,2001,109360.0
dodge,2018,39590.0
dodge,2002,185460.0
dodge,2018,45561.0
dodge,2018,39029.0
dodge,2011,35275.0
dodge,2018,47085.0
dodge,2011,162281.0
dodge,2006,111782.0
dodge,2016,83262.0
dodge,2015,3641.0
dodge,2019,10944.0
dodge,2019,32251.0
dodge,2016,87229.0
dodge,2017,46829.0
